"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F"
"1","LD","LD","1","4","D","1","D1","B1","B","1","1","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","1","2","D","1","D1","M1","M","1","2","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","1","7","D","1","D1","B2","B","2","11","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","1","11","D","1","D1","D1","D","1","16","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","7","D","1","D1","D1","D","1","11","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","5","D","1","D1","M1","M","1","5","P","1","1","0",0.125,3,NA,6,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0511525224473813,0.790569415042095,48,0.602059991327962,1.87082869338697,3,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,6.5,NA,NA,NA
"2","LD","LDBS","5","10","D","1","D1","D1","D","1","18","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","7","D","1","D1","B2","B","2","24","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","1","D","1","D1","D1","D","1","13","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","8","D","1","D1","D2","D","2","11","D","1","0","0",0.0625,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0263289387223491,0.75,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","10","9","D","1","D1","D2","D","2","14","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","10","10","D","1","D1","D1","D","1","12","P","1","0","0",0.116666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.047923552446823,0.785281266171555,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","13","D","1","D1","B2","B","2","25","D","1","1","1",0.066666667,1,5,6,1,1,"02-Aug-13",214,"15-Aug-13",227,13,2,0.0280287237359606,0.752772652930485,32.5,0.301029995663981,1.22474487139159,1,0.778151250383644,2.34520787991171,3,0.301029995663981,1.22474487139159,2,2.33243845991561,14.6458185158768,6.5,1.14612803567824,3.67423461417477,8
"7","LD","HD","1","11","D","1","D1","D2","D","2","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","9","D","1","D1","M1","M","1","2","D","1","1","1",0.033333333,NA,4,NA,NA,1,"",NA,"15-Aug-13",227,NA,4,0.0142404389745153,0.730296743112004,26,NA,NA,NA,0.698970004336019,2.12132034355964,2,0.301029995663981,1.22474487139159,2,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","16","D","1","D1","D1","D","1","11","P","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","14","D","1","D1","M1","M","1","20","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","20","D","1","D1","M1","M","1","11","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","24","D","1","D1","M1","M","1","19","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","6","D","1","D1","D2","D","2","24","P","1","0","0",0.0625,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0263289387223491,0.75,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","10","D","1","D1","D1","D","1","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","21","D","1","D1","D2","D","2","13","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","18","D","1","D1","D2","D","2","7","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","19","D","1","D1","M1","M","1","2","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","14","D","1","D1","D2","D","2","8","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","13","D","1","D1","D2","D","2","10","P","1","1","0",0,3,NA,5,1,NA,"02-Aug-13",214,"",NA,NA,NA,0,0.707106781186548,10.5,0.602059991327962,1.87082869338697,3,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,6.5,NA,NA,NA
"7","LD","HD","4","11","D","1","D1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","5","D","1","D1","D2","D","2","5","D","1","1","0",0.25,4.5,NA,6,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0969100130080564,0.866025403784439,57,0.740362689494244,2.23606797749979,6,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,6.5,NA,NA,NA
"7","LD","HD","9","12","D","1","D1","D1","D","1","11","D","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","10","1","D","1","D1","D1","D","1","23","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","3","10","M","1","M1","M1","M","1","3","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","12","M","1","M1","D1","D","1","20","D","1","1","1",0.214285714,5,17,7,3,5,"17-Jul-13",198,"04-Sep-13",247,49,47,0.084320885597849,0.845154254559486,56,0.778151250383644,2.34520787991171,7.5,1.25527250510331,4.18330013267038,17,0.778151250383644,2.34520787991171,16.5,2.29885307640971,14.0890028036054,1,1.69897000433602,7.03562363973514,16
"1","LD","LD","5","7","M","1","M1","D1","D","1","21","D","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","6","6","M","1","M1","D1","D","1","19","P","1","1","1",0.142857143,6,11,16,2,3,"31-Jul-13",212,"04-Sep-13",247,35,44,0.0579919470319736,0.80178372582636,51.5,0.845098040014257,2.54950975679639,10,1.07918124604762,3.39116499156263,14,0.602059991327962,1.87082869338697,11,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,14
"1","LD","LD","8","10","M","1","M1","M1","M","1","3","D","1","1","1",0.160714286,10,11,8,1,4,"21-Aug-13",233,"04-Sep-13",247,14,29,0.0647253297435584,0.812843334228681,54,1.04139268515823,3.24037034920393,18.5,1.07918124604762,3.39116499156263,14,0.698970004336019,2.12132034355964,14.5,2.36921585741014,15.2807067899361,12,1.17609125905568,3.80788655293195,9
"1","LD","LD","9","12","M","1","M1","D1","D","1","25","D","1","1","1",0.142857143,10,10,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0579919470319736,0.80178372582636,51.5,1.04139268515823,3.24037034920393,18.5,1.04139268515823,3.24037034920393,11,0.477121254719662,1.58113883008419,6,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"1","LD","LD","9","2","M","1","M1","D2","D","2","10","D","1","1","1",0.178571429,10,10,6,5,5,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0713559086935935,0.823754471308047,55,1.04139268515823,3.24037034920393,18.5,1.04139268515823,3.24037034920393,11,0.778151250383644,2.34520787991171,16.5,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"1","LD","LD","9","7","M","1","M1","M2","M","2","5","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","10","4","M","1","M1","D2","D","2","18","D","1","1","1",0.125,8,8,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,6,0.0511525224473813,0.790569415042095,48,0.954242509439325,2.91547594742265,14,0.954242509439325,2.91547594742265,6,0.477121254719662,1.58113883008419,6,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"3","LD","LD","1","22","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","3","16","M","1","M1","D1","D","1","7","D","1","1","1",0.142857143,7,12,16,1,4,"31-Jul-13",212,"04-Sep-13",247,35,9,0.0579919470319736,0.80178372582636,51.5,0.903089986991944,2.73861278752583,12,1.11394335230684,3.53553390593274,16,0.698970004336019,2.12132034355964,14.5,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,14
"3","LD","LD","5","5","M","1","M1","M1","M","1","18","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","5","23","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","6","17","M","1","M1","M1","M","1","15","D","1","1","1",0.107142857,4,9,7,1,3,"31-Jul-13",212,"04-Sep-13",247,35,11,0.0442036624360154,0.77919372238231,44,0.698970004336019,2.12132034355964,5,1,3.08220700148449,8.5,0.602059991327962,1.87082869338697,11,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,14
"3","LD","LD","6","3","M","1","M1","D1","D","1","15","D","1","1","0",0.071428571,5,NA,7,3,NA,"04-Sep-13",247,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,0.778151250383644,2.34520787991171,7.5,NA,NA,NA,NA,NA,NA,2.39445168082622,15.7321327225523,16.5,NA,NA,NA
"3","LD","LD","7","4","M","1","M1","M1","M","1","13","D","1","1","1",0.089285714,8,10,9,1,2,"07-Aug-13",219,"04-Sep-13",247,28,19,0.0371418078906533,0.767649473392642,40.5,0.954242509439325,2.91547594742265,14,1.04139268515823,3.24037034920393,11,0.477121254719662,1.58113883008419,6,2.34242268082221,14.8155323900291,10,1.46239799789896,5.33853912601566,11
"3","LD","LD","7","1","M","1","M1","D1","D","1","24","D","1","1","1",0.107142857,10,11,9,1,3,"07-Aug-13",219,"04-Sep-13",247,28,15,0.0442036624360154,0.77919372238231,44,1.04139268515823,3.24037034920393,18.5,1.07918124604762,3.39116499156263,14,0.602059991327962,1.87082869338697,11,2.34242268082221,14.8155323900291,10,1.46239799789896,5.33853912601566,11
"3","LD","LD","7","15","M","1","M1","M1","M","1","9","D","1","1","1",0.142857143,9,9,11,3,3,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0579919470319736,0.80178372582636,51.5,1,3.08220700148449,16,1,3.08220700148449,8.5,0.602059991327962,1.87082869338697,11,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"3","LD","LD","7","16","M","1","M1","D1","D","1","8","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","7","7","M","1","M1","D1","D","1","10","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","8","2","M","1","M1","M1","M","1","19","D","1","1","1",0.053571429,6,8,13,3,3,"07-Aug-13",219,"04-Sep-13",247,28,23,0.0226639848126059,0.744023809430854,29,0.845098040014257,2.54950975679639,10,0.954242509439325,2.91547594742265,6,0.602059991327962,1.87082869338697,11,2.34242268082221,14.8155323900291,10,1.46239799789896,5.33853912601566,11
"3","LD","LD","8","12","M","1","M1","D1","D","1","6","P","1","1","1",0.035714286,6,6,5,2,2,"04-Sep-13",247,"04-Sep-13",247,0,4,0.0152399666765422,0.73192505490658,27.5,0.845098040014257,2.54950975679639,10,0.845098040014257,2.54950975679639,4,0.477121254719662,1.58113883008419,6,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"3","LD","LD","9","17","M","1","M1","D2","D","2","5","D","1","1","1",0.026785714,3,3,6,1,1,"04-Sep-13",247,"04-Sep-13",247,0,3,0.0114798175625829,0.725800050978229,21,0.602059991327962,1.87082869338697,3,0.602059991327962,1.87082869338697,1,0.301029995663981,1.22474487139159,2,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"3","LD","LD","9","22","M","1","M1","D1","D","1","17","D","1","1","1",0.107142857,8,8,11,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0442036624360154,0.77919372238231,44,0.954242509439325,2.91547594742265,14,0.954242509439325,2.91547594742265,6,0.477121254719662,1.58113883008419,6,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,4
"3","LD","LD","9","5","M","1","M1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","9","1","M","1","M1","D1","D","1","19","D","1","0","0",0.089285714,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0371418078906533,0.767649473392642,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","9","8","M","1","M1","D1","D","1","12","D","1","0","0",0.098214286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0406870888822035,0.77344313688855,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
